,Movie,Score,Year,Director,Cast,Link
221,El mago de Oz,8.0,1939,Victor Fleming,"Judy Garland, Frank Morgan",https://imbd.com/title/tt0032138/
222,Ratatouille,8.0,2007,Brad Bird,"Brad Garrett, Lou Romano",https://imbd.com/title/tt0382932/
223,Atrapado en el tiempo,8.0,1993,Harold Ramis,"Bill Murray, Andie MacDowell",https://imbd.com/title/tt0107048/
224,Antes del atardecer,8.0,2004,Richard Linklater,"Ethan Hawke, Julie Delpy",https://imbd.com/title/tt0381681/
225,El exorcista,8.0,1973,William Friedkin,"Ellen Burstyn, Max von Sydow",https://imbd.com/title/tt0070047/
226,Los mejores años de nuestra vida,8.0,1946,William Wyler,"Myrna Loy, Dana Andrews",https://imbd.com/title/tt0036868/
227,Los Increíbles,8.0,2004,Brad Bird,"Craig T. Nelson, Samuel L. Jackson",https://imbd.com/title/tt0317705/
228,Ser o no ser,8.0,1942,Ernst Lubitsch,"Carole Lombard, Jack Benny",https://imbd.com/title/tt0035446/
229,Las uvas de la ira,8.0,1940,John Ford,"Henry Fonda, Jane Darwell",https://imbd.com/title/tt0032551/
230,Rebeca,8.0,1940,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine",https://imbd.com/title/tt0032976/
231,La batalla de Argel,8.0,1966,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin",https://imbd.com/title/tt0058946/
232,Siempre a tu lado (Hachiko),8.0,2009,Lasse Hallström,"Richard Gere, Joan Allen",https://imbd.com/title/tt1028532/
233,La leyenda del indomable,8.0,1967,Stuart Rosenberg,"Paul Newman, George Kennedy",https://imbd.com/title/tt0061512/
234,Amores perros,8.0,2000,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal",https://imbd.com/title/tt0245712/
235,Piratas del Caribe: La maldición de la Perla Negra,8.0,2003,Gore Verbinski,"Johnny Depp, Geoffrey Rush",https://imbd.com/title/tt0325980/
236,El odio,8.0,1995,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé",https://imbd.com/title/tt0113247/
237,Los cuatrocientos golpes,8.0,1959,François Truffaut,"Jean-Pierre Léaud, Albert Rémy",https://imbd.com/title/tt0053198/
238,Persona,8.0,1966,Ingmar Bergman,"Bibi Andersson, Liv Ullmann",https://imbd.com/title/tt0060827/
239,Mi padre y mi hijo,8.0,2005,Cagan Irmak,"Çetin Tekindor, Fikret Kuskan",https://imbd.com/title/tt0476735/
240,Sucedió una noche,8.0,1934,Frank Capra,"Clark Gable, Claudette Colbert",https://imbd.com/title/tt0025316/
241,La vida de Brian,8.0,1979,Terry Jones,"Graham Chapman, John Cleese",https://imbd.com/title/tt0079470/
242,Sonrisas y lágrimas,8.0,1965,Robert Wise,"Julie Andrews, Christopher Plummer",https://imbd.com/title/tt0059742/
243,Dersu Uzala (El cazador),8.0,1975,Akira Kurosawa,"Maksim Munzuk, Yuriy Solomin",https://imbd.com/title/tt0071411/
244,La doncella,8.0,2016,Park Chan-wook,"Kim Min-hee, Ha Jung-woo",https://imbd.com/title/tt4016934/
245,Gandhi,8.0,1982,Richard Attenborough,"Ben Kingsley, John Gielgud",https://imbd.com/title/tt0083987/
246,Aladdín,8.0,1992,Ron Clements,"Scott Weinger, Robin Williams",https://imbd.com/title/tt0103639/
247,Criadas y señoras,8.0,2011,Tate Taylor,"Emma Stone, Viola Davis",https://imbd.com/title/tt1454029/
248,Jai Bhim,8.0,2021,T.J. Gnanavel,"Suriya, Lijo Mol Jose",https://imbd.com/title/tt15097216/
249,La bella y la bestia,8.0,1991,Gary Trousdale,"Paige O'Hara, Robby Benson",https://imbd.com/title/tt0101414/
