,Movie,Score,Year,Director,Cast,Link
134,Vencedores o vencidos,8.2,1961,Stanley Kramer,"Spencer Tracy, Burt Lancaster",https://imbd.com/title/tt0055031/
135,Ran,8.2,1985,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao",https://imbd.com/title/tt0089881/
136,Sin perdón,8.2,1992,Clint Eastwood,"Clint Eastwood, Gene Hackman",https://imbd.com/title/tt0105695/
137,Casino,8.2,1995,Martin Scorsese,"Robert De Niro, Sharon Stone",https://imbd.com/title/tt0112641/
138,El laberinto del fauno,8.2,2006,Guillermo del Toro,"Ivana Baquero, Ariadna Gil",https://imbd.com/title/tt0457430/
139,Pozos de ambición,8.2,2007,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano",https://imbd.com/title/tt0469494/
140,El sexto sentido,8.2,1999,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment",https://imbd.com/title/tt0167404/
141,Una mente maravillosa,8.2,2001,Ron Howard,"Russell Crowe, Ed Harris",https://imbd.com/title/tt0268978/
142,El show de Truman,8.2,1998,Peter Weir,"Jim Carrey, Ed Harris",https://imbd.com/title/tt0120382/
143,Los caballeros de la mesa cuadrada y sus locos seguidores,8.2,1975,Terry Gilliam,"Graham Chapman, John Cleese",https://imbd.com/title/tt0071853/
144,Yojimbo,8.2,1961,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno",https://imbd.com/title/tt0055630/
145,El tesoro de Sierra Madre,8.1,1948,John Huston,"Humphrey Bogart, Walter Huston",https://imbd.com/title/tt0040897/
146,Shutter Island,8.1,2010,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer",https://imbd.com/title/tt1130884/
147,Rashomon,8.1,1950,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô",https://imbd.com/title/tt0042876/
148,Jurassic Park (Parque Jurásico),8.1,1993,Steven Spielberg,"Sam Neill, Laura Dern",https://imbd.com/title/tt0107290/
149,La gran evasión,8.1,1963,John Sturges,"Steve McQueen, James Garner",https://imbd.com/title/tt0057115/
150,Kill Bill: Volumen 1,8.1,2003,Quentin Tarantino,"Uma Thurman, David Carradine",https://imbd.com/title/tt0266697/
151,No es país para viejos,8.1,2007,Ethan Coen,"Tommy Lee Jones, Javier Bardem",https://imbd.com/title/tt0477348/
152,Buscando a Nemo,8.1,2003,Andrew Stanton,"Albert Brooks, Ellen DeGeneres",https://imbd.com/title/tt0266543/
153,El hombre elefante,8.1,1980,David Lynch,"Anthony Hopkins, John Hurt",https://imbd.com/title/tt0080678/
154,Chinatown,8.1,1974,Roman Polanski,"Jack Nicholson, Faye Dunaway",https://imbd.com/title/tt0071315/
155,Toro salvaje,8.1,1980,Martin Scorsese,"Robert De Niro, Cathy Moriarty",https://imbd.com/title/tt0081398/
156,Lo que el viento se llevó,8.1,1939,Victor Fleming,"Clark Gable, Vivien Leigh",https://imbd.com/title/tt0031381/
157,Todo a la vez en todas partes,8.1,2022,Dan Kwan,"Michelle Yeoh, Stephanie Hsu",https://imbd.com/title/tt6710474/
158,La cosa (El enigma de otro mundo),8.1,1982,John Carpenter,"Kurt Russell, Wilford Brimley",https://imbd.com/title/tt0084787/
159,V de Vendetta,8.1,2006,James McTeigue,"Hugo Weaving, Natalie Portman",https://imbd.com/title/tt0434409/
160,Del revés (Inside Out),8.1,2015,Pete Docter,"Amy Poehler, Bill Hader",https://imbd.com/title/tt2096673/
161,Lock & Stock,8.1,1998,Guy Ritchie,"Jason Flemyng, Dexter Fletcher",https://imbd.com/title/tt0120735/
162,Crimen perfecto,8.1,1954,Alfred Hitchcock,"Ray Milland, Grace Kelly",https://imbd.com/title/tt0046912/
163,El secreto de sus ojos,8.1,2009,Juan José Campanella,"Ricardo Darín, Soledad Villamil",https://imbd.com/title/tt1305806/
164,El castillo ambulante,8.1,2004,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura",https://imbd.com/title/tt0347149/
165,El puente sobre el río Kwai,8.1,1957,David Lean,"William Holden, Alec Guinness",https://imbd.com/title/tt0050212/
166,Tres anuncios en las afueras,8.1,2017,Martin McDonagh,"Frances McDormand, Woody Harrelson",https://imbd.com/title/tt5027774/
167,Trainspotting,8.1,1996,Danny Boyle,"Ewan McGregor, Ewen Bremner",https://imbd.com/title/tt0117951/
168,Warrior,8.1,2011,Gavin O'Connor,"Tom Hardy, Nick Nolte",https://imbd.com/title/tt1291584/
169,Gran Torino,8.1,2008,Clint Eastwood,"Clint Eastwood, Bee Vang",https://imbd.com/title/tt1205489/
170,Fargo,8.1,1996,Joel Coen,"William H. Macy, Frances McDormand",https://imbd.com/title/tt0116282/
